stop_id,stop_code,stop_name,stop_lon,stop_lat,location_type,stop_display,stop_abribus
AOUT1946539,46539,Des Ambassadeurs / Du Monarque [46539] ,-73.68288,45.623624,0,0,0
AOUT19CP46540,46540,Terminus 9e Avenue [46540] ,-73.76849,45.642632,0,0,0
AOUT19CP46541,46541,Terminus 9e Avenue [46541] ,-73.76833,45.641939,0,0,0
AOUT1946544,46544,Robert-Bourassa / Dali [46544] ,-73.68819,45.611948,0,0,0
AOUT1946545,46545,Robert-Bourassa / Face Au Bureau En Gros [46545] ,-73.68951,45.611245,0,0,0
AOUT1946546,46546,Robert-Bourassa / Face à Intersport [46546] ,-73.6982,45.609316,0,0,0
AOUT1946547,46547,Robert-Bourassa / Face Au Wal-Mart [46547] ,-73.69986,45.610841,0,0,0
AOUT1946548,46548,Robert-Bourassa / Face Au Iga [46548] ,-73.70059,45.611811,0,0,0
AOUT1946549,46549,Robert-Bourassa / Du Haut-Saint-François [46549] ,-73.70066,45.615599,0,0,0
AOUT19CP46550,46550,Terminus Haut-Saint-François [46550] ,-73.70259,45.613796,0,0,0
AOUT19CP46551,46551,Terminus Haut-Saint-François [46551] ,-73.70233,45.613906,0,0,0
AOUT1946552,46552,Du Haut-Saint-François / Robert-Bourassa [46552] ,-73.70093,45.615446,0,0,0
AOUT1946553,46553,Robert-Bourassa / Face Au Iga [46553] ,-73.70092,45.611955,0,0,0
AOUT1946554,46554,Robert-Bourassa / Face Au Wal-Mart [46554] ,-73.70029,45.610902,0,0,0
AOUT1946555,46555,Robert-Bourassa / Face à Intersport [46555] ,-73.69862,45.60934,0,0,1
AOUT1946556,46556,Robert-Bourassa / Face Au Bureau En Gros [46556] ,-73.68931,45.611094,0,0,0
AOUT1946557,46557,Robert-Bourassa / Dali [46557] ,-73.68793,45.611835,0,0,1
AOUT1946558,46558,Masson / Bernard-Lefebvre [46558] ,-73.64185,45.637086,0,0,0
AOUT1946559,46559,Bernard-Lefebvre / Face Au 4000 [46559] ,-73.64659,45.636628,0,0,0
AOUT1946560,46560,Bernard-Lefebvre / Ernest-Cormier [46560] ,-73.6449,45.633914,0,0,0
AOUT1946561,46561,Ernest-Cormier / Maurice-Cullen [46561] ,-73.65185,45.629554,0,0,0
AOUT1946562,46562,Ernest-Cormier / Maurice-Cullen [46562] ,-73.65214,45.629042,0,0,0
AOUT19CP46563,46563,Terminus Cléroux [46563] ,-73.80038,45.550713,0,0,0
AOUT1946564,46564,Cléroux / Cherrier [46564] ,-73.79646,45.55306,0,0,0
AOUT1946565,46565,Cléroux / Cuvillier [46565] ,-73.79525,45.553793,0,0,0
AOUT1946566,46566,Cléroux / Buteau [46566] ,-73.79329,45.554687,0,0,0
AOUT1946567,46567,Cléroux / Lamontagne [46567] ,-73.79065,45.555417,0,0,0
AOUT1946568,46568,Cléroux / Guénette [46568] ,-73.78709,45.556452,0,0,0
AOUT1946569,46569,Cléroux / Légaré [46569] ,-73.78331,45.557544,0,0,0
AOUT1946570,46570,Louis-Payette / 100e Avenue [46570] ,-73.77885,45.548678,0,0,0
AOUT19CP46571,46571,100e Avenue / Saint-Martin [46571] ,-73.7777,45.54684,0,0,0
