stop_id,stop_code,stop_name,stop_lon,stop_lat,location_type,stop_display,wheelchair_boarding,stop_abribus
JUIN2342727,42727,Rio / Olivier-Chauveau,-73.74410034,45.61094386,0,0,2,0
JUIN2342729,42729,Rio / Bellerose,-73.7415258,45.6085378,0,0,2,0
JUIN2342730,42730,Rio / Olivier-Chauveau,-73.74368952,45.61081876,0,0,2,0
JUIN2342740,42740,des Rossignols / de la Petite-Côte,-73.77123801,45.58871989,0,0,1,0
JUIN2342741,42741,des Rossignols / de la Petite-Côte,-73.77091605,45.58862738,0,0,2,0
JUIN2342749,42749,15e Rue / Molière,-73.69672132,45.55809826,0,0,1,0
JUIN2342750,42750,15e Rue / 8e Avenue,-73.69792503,45.56556878,0,0,2,0
JUIN2342751,42751,15e Rue / de la Concorde,-73.69751959,45.56658232,0,0,2,0
JUIN2342752,42752,15e Rue / Molière,-73.69737524,45.5582861,0,0,1,0
JUIN2342753,42753,15e Rue / Robin,-73.69848198,45.55975398,0,0,2,0
JUIN2342754,42754,15e Rue / Robin,-73.69805639,45.55967207,0,0,2,0
JUIN2342755,42755,15e Rue / de Cluny,-73.69912565,45.56065862,0,0,1,0
JUIN2342756,42756,15e Rue / de Cluny,-73.69942129,45.56094605,0,0,2,0
JUIN2342757,42757,15e Rue / 12e Avenue,-73.69837825,45.56303548,0,0,1,0
JUIN2342758,42758,15e Rue / 12e Avenue,-73.69867368,45.56325993,0,0,1,0
JUIN2342759,42759,15e Rue / 8e Avenue,-73.69757386,45.56550378,0,0,2,0
JUIN2342760,42760,Saint-Antoine / Principale,-73.84962098,45.54332626,0,0,2,0
JUIN2342761,42761,Saint-Antoine / 57e Avenue,-73.85223054,45.54287732,0,0,2,0
JUIN2342762,42762,Saint-Antoine / 57e Avenue,-73.85214,45.54277577,0,0,2,1
JUIN2342763,42763,Saint-Antoine / 51e Avenue,-73.85451585,45.54178145,0,0,2,0
JUIN2342764,42764,Saint-Antoine / 51e Avenue,-73.85479542,45.54143864,0,0,2,0
JUIN2342765,42765,Saint-Antoine / Arthur-Sauvé,-73.8569421,45.54071209,0,0,2,0
JUIN2342766,42766,Saint-Elzéar / René-Laennec,-73.71925655,45.60853772,0,0,2,0
JUIN2342767,42767,Saint-Elzéar / face au 155,-73.72194775,45.60752237,0,0,2,0
JUIN2342768,42768,Saint-Elzéar / face au 188,-73.72134278,45.60764287,0,0,2,0
JUIN2342769,42769,Saint-Elzéar / Beaucourt,-73.72388992,45.6066121,0,0,2,1
JUIN2342770,42770,Saint-Elzéar / Beaucourt,-73.72396594,45.606387,0,0,2,0
JUIN2342771,42771,Saint-Elzéar / Aimé-Séguin,-73.72656209,45.60481618,0,0,1,0
JUIN2342772,42772,Saint-Elzéar / Aimé-Séguin,-73.72663799,45.60456408,0,0,2,0
JUIN23CP42773,42773,Saint-Elzéar / des Laurentides,-73.72832513,45.60331896,0,1,1,1
JUIN23CP42774,42774,Saint-Elzéar / des Laurentides,-73.72858005,45.60295851,0,0,1,1
JUIN2342775,42775,Saint-Elzéar / Le Royer,-73.7299549,45.60226769,0,0,2,0
JUIN2342776,42776,Saint-Elzéar / Norman-Bethune,-73.71191758,45.61385154,0,0,2,0
JUIN2342777,42777,Saint-Elzéar / de Naples,-73.73191521,45.60036929,0,0,1,1
JUIN2342778,42778,Saint-Elzéar / Delorme,-73.73193969,45.60009029,0,0,2,0
JUIN2342779,42779,Saint-Elzéar / Joseph-Prévost,-73.73337055,45.5989266,0,0,2,0
JUIN2342780,42780,Saint-Elzéar / Joseph-Prévost,-73.73335673,45.59868367,0,0,2,0
JUIN2342781,42781,Saint-Elzéar / face au 136,-73.73430931,45.59751202,0,0,1,0
JUIN2342782,42782,Saint-Elzéar / Martenot,-73.73530114,45.59403924,0,0,2,0
JUIN2342783,42783,Saint-Elzéar / Martenot,-73.73521726,45.593906,0,0,2,0
JUIN2342784,42784,Saint-Elzéar / Francis-Hughes,-73.73681836,45.59275568,0,0,2,0
JUIN2342785,42785,Saint-Elzéar / de Francfort,-73.71279921,45.61304006,0,0,2,0
JUIN2342786,42786,Saint-Elzéar / de Francfort,-73.71282394,45.61279706,0,0,1,0
JUIN23CP42787,42787,Saint-Elzéar / Montée Monette,-73.71476661,45.61117374,0,0,2,1
JUIN23CP42788,42788,Saint-Elzéar / Montée Monette,-73.71477843,45.61091277,0,0,2,0
JUIN2342789,42789,Saint-Elzéar / René-Laennec,-73.71895005,45.60884425,0,0,1,1
JUIN2342794,42794,Saint-Hubert / de Quimper,-73.67968157,45.56095181,0,0,1,0
JUIN2342795,42795,Saint-Hubert / des Prairies,-73.6776108,45.55828254,0,0,2,0
JUIN2342797,42797,Montée Saint-François / Lévesque,-73.64432761,45.61626948,0,0,2,0
JUIN2342798,42798,Montée Saint-François / Lévesque,-73.6444824,45.61662922,0,0,1,0
JUIN2342800,42800,Saint-Martin / 100e Avenue,-73.77793798,45.54673812,0,0,1,0
JUIN2342801,42801,Saint-Martin / Dutrisac,-73.77502124,45.54722855,0,0,1,1
JUIN2342802,42802,Saint-Martin / Dutrisac,-73.7747551,45.54738729,0,0,1,0
JUIN2342803,42803,Saint-Martin / Fafard,-73.77159067,45.54771619,0,0,1,1
JUIN2342804,42804,Saint-Martin / face à l'hôpital Saint-Judes,-73.76944288,45.54833964,0,0,1,1
JUIN2342805,42805,Saint-Martin / Francoeur,-73.76820247,45.54872949,0,0,2,0
JUIN2342806,42806,Saint-Martin / face à l'hôpital Saint-Judes,-73.76927729,45.548529,0,0,2,0
JUIN2342807,42807,Saint-Martin / Francoeur,-73.76801122,45.54890991,0,0,1,0
JUIN2342808,42808,Saint-Martin / Pilon,-73.76682125,45.54913765,0,0,1,0
JUIN2342809,42809,Saint-Martin / Pilon,-73.76669734,45.54929223,0,0,2,0
JUIN2342810,42810,Saint-Martin / du Couvent,-73.76311293,45.55036103,0,0,2,0
JUIN2342811,42811,Saint-Martin / Robinson,-73.76060767,45.55143758,0,0,2,0
JUIN2342812,42812,Saint-Martin / Mayfield,-73.75774503,45.55280282,0,0,1,0
JUIN2342813,42813,Saint-Martin / du Couvent,-73.76320291,45.55015851,0,0,1,1
